live.seats.taken,live.fee.original_price,live.fee.amount,live.review.count,live.review.score,live.speaker.member.name,live.speaker.member.headline,live.speaker.member.gender,live.speaker.description,live.subject,live.speaker_message_count,live.tags.name,live.tags.great_num,live.tags.score,live.tags.available_num,live.tags.live_num,live.liked_num
98,5900,5900,9,4.78,王礼Leon,大数据科学家/职业生涯规划导师,1,随手记大数据总监，前阿里和腾讯大数据专家。本科华南理工大学应用数学，硕士中欧国际工商学院 EMBA 。 10 年+的著名企业大数据经验，精通大数据平台建设、大数据分析挖掘及产品应用、数据化运营体系构建、大数据战略及价值变现。在行 APP 、专头 APP 大数据行家，任多家企业大数据战略顾问，曾给几十家企业进行过《企业的大数据战略及价值变现》咨询服务,企业大数据战略及价值变现,102,互联网,659,0,676,694,57
263,1900,1900,32,4.47,涛吴,a real nowhere man,1,我叫吴涛，一个从业八年的普通程序员，多少积累了点经验。,普通程序员的职业发展,58,科学技术,400,0,404,414,580
3837,2999,2999,334,4.86,尤雨溪,不会搞艺术的程序员不是好设计师,1,尤雨溪，独立开发者，开源前端框架 Vue.js 作者。学过点艺术，偶尔做设计，主要写代码。曾经在 Meteor 和 Google 打过工。,不吹不黑聊聊前端框架,100,互联网,659,0,676,694,1796
29221,999,999,1588,4.56,张佳玮,公众号：张佳玮写字的地方,1,我是张佳玮。自由撰稿人。,关于阅读的一些微小经验,64,阅读与写作,314,0,316,321,5289
4802,3900,3900,121,4.45,王诺诺,微信平台：misswangnuonuo,0,我是王诺诺，本科毕业于加拿大英属哥伦比亚大学，研究生毕业于剑桥大学，并获得研究生论文专业第一名。现任某 TOP 互联网公司行业分析师，长期写行业研究和分析报告。长久以来，我一直有写作的习惯，尤其爱写科幻类的作品，我的作品曾以专题的形式，登上过《科幻世界》。我也一直坚持在写作上自学经典教程，并在新媒体中实践。通过这门课，我将把这我 5 年来的写作经验心得，压缩成 6 次 Live ，分享给大家，帮大家避开成为写作斜杠青年之路上的那些坑。,干货类文章的 3 个写作框架,60,阅读与写作,314,0,316,321,606
2435,4999,4999,75,4.49,视光师金鑫,好高级的验光狮，嗷！国家验光技师，近视斜弱视防控研究所所长,1,我是金鑫，验光技师、寿阳近视斜弱视防控研究所所长；从事青少年近视防控、弱视视力功能恢复以及成年人舒适配镜等相关工作。年初曾与章伟忠老师一起参加「职人介绍所」的眼镜专题录制。,关于配眼镜：你需要知道的更多,351,生活方式,622,0,623,645,1583
116,2999,2999,12,4.92,王礼Leon,大数据科学家/职业生涯规划导师,1,随手记副总裁，大数据总监，前阿里和腾讯大数据专家。华工数学，中欧 EMBA 。 10 年+的著名企业大数据经验，转战于互联网技术、产品、运营、风控、金融等领域。是在行 APP 、专头 APP 大数据行家，任多家企业大数据战略顾问，招聘面试过无数的小伙伴，曾给数百人进行过《大数据人职业生涯规划》咨询服务，深堪大数据人的职业发展之路。,大数据人的数据科学家之路,114,职业,1070,0,1109,1128,156
97,2999,2999,0,0,王礼Leon,大数据科学家/职业生涯规划导师,1,随手记副总裁，前大数据总监，前阿里和腾讯大数据专家。华工数学、中欧 EMBA ，知乎 Live 讲师，在行 APP 、分答 APP 、专头 APP 大数据行家。 10 年+的著名企业互联网大数据经验。任多家企业大数据战略顾问，日常招聘面试过无数大数据人，曾给数百人进行过《大数据人职业生涯规划》咨询服务，深堪大数据人的职业发展之路。,如何进入 BAT 从事大数据,0,互联网,659,0,676,694,81
255,2999,2999,34,4.76,王礼Leon,大数据科学家/职业生涯规划导师,1,随手记大数据总监，前阿里和腾讯大数据专家。本科华南理工大学数学与应用数学，硕士中欧国际工商学院 EMBA 。 10 年+的著名企业大数据经验，精通大数据研发、大数据分析挖掘、数据产品应用、数据化运营。同时，也是在行 APP 、专头 APP 大数据专家顾问， N 家企业的大数据战略顾问，曾给无数人进行过《大数据人的职业生涯规划》。,大数据人的职业生涯规划,62,职业,1070,0,1109,1128,568
1728,1688,1688,62,4.05,Timothy Wang,一念之间，万水千山。,1,我是 Timothy Wang ，职业摄影师， Getty Images ， Corbis 签约艺术家， Plume Creative 工作室创始人。,旅行中，如何拍出好照片？,191,艺术,392,0,402,406,1350
682,2900,2900,68,4.49,何嘉文,"Now You See Me, Now You Don't",1,"我是何嘉文，财务管理专业，曾获得皇家管理会计师公会 GBC 案例分析大赛全国第三名。毕业后成为一家 500 强财务部的管理培训生，期间获得 Best Analysis Award, 兼具供应链和商业端的财务分析经验。目前跳槽至一家奢侈品公司做战略分析，并已获得美国 Magic 7 之一的顶级 MBA offer 。这是我财务分析主题的第三场 Live ，前两场「如何成为一名财务分析师」和「财务新人如何提升商业意识」都收获了五星好评。我在问题「 Excel 有什么奇淫巧技」和「怎么搭建一个财务模型」中的回答也收获了数千次赞同和收藏。",财务分析之巧用 Excel 建模,101,金融与经济,573,0,590,610,1239
267,999,999,15,4.13,赵乾坤,"data geek, 创业者，博士",1,我是赵乾坤，我有 10+ 年数据行业的从业经历，是数据价值挖掘的践行者，从搜索引擎模型的优化，到互联网广告投放策略，用户行为和 CTR 预测，到传统企业的互联网化，电商化，移动化，数据化运营，企业内部数据体系以及业务驱动的数据分析系统的规划和搭建，我经历了成熟公司的数据应用体系，也从零开始在创业过程中实践中体会到了数据的价值。 我本科毕业于华中科技大学，博士毕业于新加坡南洋理工大学，曾在美国宾州州立大学从事博士后研究，这一切都是和数据打交道。 我曾就职于好耶广告，西班牙电信， Teradata ，美国在线等企业，也参与了 37degree 和诸葛 IO 的创业，曾为多家百强公司提供数据相关的解决方案和服务。,自助式数据分析,59,互联网,659,0,676,694,266
1581,5900,5900,80,4.56,北冥乘海生,大数据仁波切 公众号“计算广告”(Comp_Ad),1,我是北冥乘海生，在微软研究院做了四年人工智能研究后，我义无反顾地投入了数据科学家的队伍，并在 Yahoo! Labs 、 MediaV 、奇虎 360 等从事互联网大数据与商业变现的工作，期间用数据驱动的公司收入增长数以十亿计。去年，我出版了数据变现领域的业界首部专著——《计算广告》（本书现已在「知乎书店」上架，欢迎大家购买），影响了业内数万的专业读者，并成为许多互联网公司数据与商业化部门人手一册的教程。,<f0><U+009F><U+0092><U+00A1> 大数据是否能改造你的行业？,156,互联网,659,0,676,694,458
830,999,999,60,4.27,王晋东不在家,读博计算机小学酥，机器学习迁移学习,1,我是王晋东不在家，中国科学院计算技术研究所博士生，已通过知乎个人认证。目前主要研究机器学习和迁移学习、深度学习等方面。继第一次 Live 讲了机器学习入门之后，我的第二次 Live ，想结合做项目的一些经验教训用最自然的语言和实际案例，跟大家分享机器学习中的重要部分：特征工程。如何从原始数据开始，构建合适特征，从而加速机器学习目标的达成？,机器学习入门之特征工程,149,互联网,659,0,676,694,459
11793,999,999,591,4.05,foruok,订阅号“程序视界”，图书作者，职业规划师，程序员,1,安晓辉，自由职业者 / 作家 / 职业规划师 / 知乎 Live 讲者 / 开发者 / 讲师 / 自媒体人 / 值乎答主 / 分答答主 / 在行行家，著有《 Qt Quick 核心编程》《你好哇，程序员》等图书。,业余时间赚钱的6种策略,110,互联网,659,0,676,694,20900
130,1999,1999,23,5,木易,《私募股权LP》作者 / LP智库创始人 ,1,"木易。
清华经管金融硕士 、巴黎高商交换学者。现就职于一家知名PE机构，负责百亿规模的母基金投资管理，并担任LP智库（香港）创始合伙人，著有畅销书《私募股权LP》。在此之前，拥有BCG和贝恩的工作经历，有丰富的管理咨询求职和面试经验。此外，是清华咨询俱乐部、北大咨询协会的核心成员，并担任纽约Boson教育的管理咨询求职讲师。",管理咨询求职面试攻略：下篇,85,职业,1070,0,1109,1128,175
1728,5900,5900,42,4.38,北冥乘海生,大数据仁波切 公众号“计算广告”(Comp_Ad),1,我是北冥乘海生，在微软研究院做了四年人工智能研究后，我义无反顾地投入了数据科学家的队伍，并在  Yahoo! Labs 、 MediaV 、奇虎 360 等从事互联网大数据与商业变现的工作，期间用数据驱动的公司收入增长数以十亿计。去年，我出版了数据变现领域的业界首部专著——《计算广告》（本书现已在「知乎书店」上架，欢迎大家购买），影响了业内数万的专业读者，并成为许多互联网公司数据与商业化部门人手一册的教程。,<f0><U+009F><U+0092><U+00A1> 如何规划数据职业生涯？,171,互联网,659,0,676,694,839
1536,5900,5900,29,4.62,北冥乘海生,大数据仁波切 公众号“计算广告”(Comp_Ad),1,我是北冥乘海生，在微软研究院做了四年人工智能研究后，我义无反顾地投入了数据科学家的队伍，并在 Yahoo! Labs 、 MediaV 、奇虎 360 等从事互联网大数据与商业变现的工作，期间用数据驱动的公司收入增长数以十亿计。去年，我出版了数据变现领域的业界首部专著——《计算广告》（本书现已在「知乎书店」上架，欢迎大家购买），影响了业内数万的专业读者，并成为许多互联网公司数据与商业化部门人手一册的教程。,<f0><U+009F><U+0092><U+00A1> 有价值的数据应该如何交易？,120,互联网,659,0,676,694,360
274,1999,1999,36,4.86,木易,《私募股权LP》作者 / LP智库创始人 ,1,"木易。清华经管金融硕士 、巴黎高商交换学者。现就职于一家知名PE机构，负责百亿规模的母基金投资管理，并担任LP智库（香港）创始合伙人，著有畅销书《私募股权LP》。在此之前，拥有BCG和贝恩的工作经历，有丰富的管理咨询求职和面试经验。此外，是清华咨询俱乐部、北大咨询协会的核心成员，并担任纽约Boson教育的管理咨询求职讲师。

",管理咨询求职面试攻略：上篇,99,职业,1070,0,1109,1128,349
1859,999,999,512,4.31,陈兰香,上不知天文，下不知地理，中间知道点生理。,0,我是陈兰香，陕西标准化高中生物老师，全国生物竞赛陕西赛区优秀辅导教师，已有八年工作经验，三年高三复习经验，今年是第三次带高三，目前已完成高三第一轮复习，进去二轮复习阶段，在工作中积累了丰富的高三复习经验，在教学过程中自创了「紧抓重点，高效听讲，四遍做题」的高三二轮复习方法，课堂容量小，效率高，帮助学生建立了完整的知识体系，掌握了高效的做题方法，教学业绩每次考核都名列前茅，连续两年被评为市级学科优秀教师，辅导参加全国生物联赛的学生取得了优异成绩，我自己也因此获得了全国生物联赛优秀辅导教师。,新课标高考生物稳步提分策略,140,教育,1189,0,1215,1234,1252
52,1900,1900,8,4.75,seasonstar,大自然爱好者,1,我是 seasonstar，现在美国德州大学西南医学中心从事计算生物学方面的工作。在美国工作的近 5 年期间，积累了大量在大规模数据处理、统计分析，数据挖掘方面的经验。加上之前在博士阶段的训练，我已有超过 10 年的数据统计分析经验。 ,实用统计分析与 R 入门（四）,124,互联网,659,0,676,694,152
1757,5900,5900,44,4.57,北冥乘海生,大数据仁波切 公众号“计算广告”(Comp_Ad),1,我是北冥乘海生，在微软研究院做了四年人工智能研究后，我义无反顾地投入了数据科学家的队伍，并在  Yahoo! Labs 、 MediaV 、奇虎 360 等从事互联网大数据与商业变现的工作，期间用数据驱动的公司收入增长数以十亿计。去年，我出版了数据变现领域的业界首部专著——《计算广告》（本书现已在「知乎书店」上架，欢迎大家购买），影响了业内数万的专业读者，并成为许多互联网公司数据与商业化部门人手一册的教程。,<f0><U+009F><U+0092><U+00A1> 怎样用数据洞察你的用户？,109,互联网,659,0,676,694,802
7061,1900,1900,943,4.84,金旭亮,喜欢写代码的老师,1,我是金旭亮，二十四年前，我从广西大学电气工程系毕业，误打误撞地，不可救药地爱上了编程，从此开始了漫长的自学之路，后考上北京理工大学计算机研究生，毕业留校任教至今。另外我写了 6 本软件书籍和教材。,如何自学计算机专业课程？,149,科学技术,400,0,404,414,5981
6262,1999,1999,407,4.84,蔡千年,我有故事，你有酒吗？,1,我是千年， 南开大学财务管理本科、金融学硕士， CMA 和 CPA ，目前负责上市公司财务工作，管理着公司在全球 16 个国家、近 30 家公司的 300 多名财务人员。 2016 年公司全球销售额预计将突破 220 亿人民币。,财务职业的前途,95,金融与经济,573,0,590,610,1072
4533,1900,1900,232,4.73,芋头,非典型性眼科博士,0,我是芋头，一名三甲医院眼科医生。在国内眼科顶级院校完成眼科硕博士学位，中途游学美国，讨厌古板，乐意尝试，工作太忙，手头太懒，所以以说代写，不愿意学究说教，不愿意模棱两可。,关于隐形眼镜你想知道的所有问题,170,医学与健康,254,0,254,262,5809
261,999,999,12,4.92,半佛仙人,我看诸君皆装逼，料诸君看我应如是,1,"我是半佛仙人，我的职业经历担保公司，中资银行，外资银行，互联网金融。
目前是国内某互金公司风控/数据产品经理，主攻风控与反欺诈，从贷款授信， ipc 尽调到大数据风控皆有涉猎。在征信（过目 10W 份 +）、信用卡、消费贷款、网贷风控，反欺诈及催收领域有着丰富的实战经验，天天与一线黑产相爱相杀。",天网年代的征信入门课,93,金融与经济,573,0,590,610,187
8934,999,999,319,4.78,半佛仙人,我看诸君皆装逼，料诸君看我应如是,1,我是半佛仙人，曾供职于担保公司、中资银行、外资银行、互联网金融公司。从 payday laon 到金融资产，从 ipc 到大数据风控均有涉猎。我本人持 8 张白金卡，同时在征信（过目 10W 份 +）、信用卡风控及催收领域有着丰富的实战经验，天天与一线黑产相爱相杀。,信用卡游戏的潜规则及用卡攻略,228,金融与经济,573,0,590,610,4856
2232,999,999,143,4.47,老张,,1,老张学长，本科毕业于华中地区某二本，现已被录取为复旦大学硕士研究生（法律硕士非法学），并通过国家司法考试。本科成绩非常一般，曾挂科三门，差点拿不到学位证。 2017 年考研 399 分+司考 398 分。一战匆匆准备 3 个月，以英语单科不过线惨淡收场。二战 6 个月司考加法硕考研，成功上岸。,二本差生到高分录取复旦硕士,165,教育,1189,0,1215,1234,7650
1599,5900,5900,30,4.63,北冥乘海生,大数据仁波切 公众号“计算广告”(Comp_Ad),1,我是北冥乘海生，在微软研究院做了四年人工智能研究后，我义无反顾地投入了数据科学家的队伍，并在  Yahoo! Labs 、 MediaV 、奇虎 360 等从事互联网大数据与商业变现的工作，期间用数据驱动的公司收入增长数以十亿计。去年，我出版了数据变现领域的业界首部专著——《计算广告》（本书现已在「知乎书店」上架，欢迎大家购买），影响了业内数万的专业读者，并成为许多互联网公司数据与商业化部门人手一册的教程。,<f0><U+009F><U+0092><U+00A1> 如何用数据武装运营工作？,118,互联网,659,0,676,694,517
3020,990,990,396,4.19,林依晨,演員,0,林依晨，中国台湾女演员、歌手。转型代表作：即将上映的电影《神秘家族》。电视剧《恶作剧之吻》、《我可能不会爱你》、《兰陵王》、《射雕英雄传》等。毕业于英国伦敦大学中央演讲与戏剧学院硕士学位；两次获得金钟奖戏剧节目女主角奖。,林依晨：偶像剧女王的转型之路,36,音乐、影视和游戏,420,0,431,443,3977
564,999,999,31,4.87,半佛仙人,我看诸君皆装逼，料诸君看我应如是,1,"我是半佛仙人，我的职业经历担保公司，中资银行，外资银行，互联网金融；目前是国内某互金公司金融产品经理（风控与数据方向），主攻风控与反欺诈。
我是属于标准的传统金融都做了一遍之后转互联网金融的那批人，做过技术专家也做过管理，一路跳槽从无失手。
另长期在知乎做内推，迄今为止推了上千份简历，有丰富的面人及被面的实战经验。
",从工作说起，那些让你利益最大化的决策,127,互联网,659,0,676,694,509
1056,999,999,129,4.67,半佛仙人,我看诸君皆装逼，料诸君看我应如是,1,我是半佛仙人，我曾就职于担保公司，中资银行，外资银行，主攻尽调与风控，从个人零售到中小企业，从线下到线上，从传统金融到互联网金融，一路漂移，目前是国内某互金公司前端审批主管。工作之余，我酷爱从各种旁门左道赚外快，从相对正经的炒股，炒房，资金过桥，贴息存款，票据贴现到不那么正经的管理 YY 兼职，淘宝刷单， P2P 薅羊毛，贷款中介，借贷宝赚利差等，都有过我圆润的身影。如果你在知乎搜索学生贷款，校园贷款，裸条等相关问题，一定能看到我的部分回答，我是真的懂还是装的懂，一看便知。我曾在业余帮助 6 家学生贷款机构设计过风控流程和贷后流程，实战经验丰富。我曾 5 次作为「某业内知情人士」接受媒体匿名采访，透露该链条的信息。我个人出于个人道德好恶以及风险度考量没有亲手碰裸条和学生贷，但我身边不乏以此为生的人。,从裸条讲起：扭曲的学生贷款,253,金融与经济,573,0,590,610,519
502,999,999,22,4.41,MEMO,建筑师，狂热醉心于手绘/DIY等领域,1,我是MEMO君，建筑师，现供职于某大型国有建筑设计研究院，毕业于西安建筑科技大学，建筑学硕士研究生。本科就读于西安美术学院，熟练掌握国、油、版、雕、水彩、素描等主要画种，尤其擅长钢笔马克笔表现，曾任ING手绘等多家国内大型手绘机构主讲师。,零基础如何从头学手绘？,206,艺术,392,0,402,406,2333
2160,999,999,205,4.4,琬如温玉,认真回答，对关注者timeline负责。,1,我是琬逸， 2008 年华盛顿州立大学硕士毕业后回国工作 8 年，分别担任过外企研发工程师， 500 强外企管理培训生，项目经理，民企产品经理，产品线经理等职位，现在在初创公司担任首席运营官一职。,不是鸡汤：为什么不要过于努力工作,111,职业,1070,0,1109,1128,1672
594,6900,6900,70,4.96,邓柯,我们都是虫子,1,"我是邓柯。我先后毕业于北京师范大学中文系和中央音乐学院电子音乐中心，现在是一名录音师，同时也是一名乐评人。
过去的十年间我参与过很多音乐教学活动。我曾担任过中央音乐学院外籍教授的专业课助教、北京现代音乐学院的专业课教师，以及人大附中及北京理工大学附中的校级音乐选修课教师。 2015 起我受聘于中国传媒大学录音与音乐艺术学院，担任客座业界导师。我还曾辅导过许多学生的音乐基础与专业课程，帮助他们通过了各大音乐院校的专业考试。
此外，我还为很多非音乐专业的朋友提供过帮助。一些人成功地进入了音乐行业，甚至成为了职业歌手和音乐人。还有很多人虽然没有从事专业音乐工作，但系统、科学的训练方法给了他们更强的音乐把握能力，而更强的理解与感知能力会帮助他们从音乐中得到更多的享受。",音乐入门课：音乐的基础材料,139,音乐、影视和游戏,420,0,431,443,261
4334,3900,3900,225,4.6,芋头,非典型性眼科博士,0,我是芋头，一名三甲医院眼科医生。在国内眼科顶级院校完成眼科硕士及博士学位，中途游学美国，讨厌古板，乐意尝试，工作太忙，手头太懒，所以以说代写，不愿意学究说教，不愿意模棱两可。,致所有近视想摘掉眼镜的你们,201,医学与健康,254,0,254,262,26647
100,1900,1900,6,4.83,seasonstar,大自然爱好者,1,我是 seasonstar，现在美国德州大学西南医学中心从事计算生物学方面的工作。在美国工作的近 5 年期间，积累了大量在大规模数据处理、统计分析，数据挖掘方面的经验。加上之前在博士阶段的训练，我已有超过 10 年的数据统计分析经验。,实用统计分析与 R 入门（二）,140,互联网,659,0,676,694,303
424,1900,1900,13,4.69,Steven Li,金融风险管理从业者,1,"我是 Steven Li, 长期在美国华尔街大银行从事市场风险建模工作，熟悉各种量化风控建模和产品，具有资深风险从业经验。拥有 CFA 和 FRM 证书，同时也是知乎的金融优秀话题回答者。",市场风险：数据、模型与交易,38,金融与经济,573,0,590,610,512
136,4999,4999,25,5,教父,量化交易从业人员,1,"知乎id:教父。曾经全国奥赛获奖，保送国内top2本科。出国取得物理学博士学位，毕业后进入海外知名对冲基金，一直从事量化交易员和研究员职位。掌握丰富的全平台经验，擅长期货和外汇的短线和日内策略。
 ",手把手入门量化交易3,117,金融与经济,573,0,590,610,209
237,999,999,15,4.47,夜尽天明,法律/考研/司考/CPA,1,我本科是山东的一所大学，现就读于中国人民大学法学院法律硕士专业。2015年9月下旬开始准备考研，法律是零基础，三个月应届考入了人大法学院。2016年一次性通过司法考试。我要讲的主要是如何在短时间内高效率的复习专业课以及如何选择考研学校。提供考研复习的具体建议。也会简要分享一下法学院复试的一点内容和建议，供大家参考。,我是如何三个月一战考入人大,93,教育,1189,0,1215,1234,432
2792,1999,1999,108,4.14,陈晓卿,纪录片导演，《舌尖上的中国》总导演,1,我是陈晓卿，一个纪录片工作者，也是美食爱好者。我拍摄制作过十多部纪录片，写过 20 万字的美食专栏，大家最熟悉的可能是两季《舌尖上的中国》。,「舌尖」总导演聊中国美食,28,美食,80,0,83,86,1024
1483,999,999,59,4.02,付振,银行皮条客,1,"专科毕业于武昌理工学院，计算机网络专业。毕业后，先后供职于两家商业银行，2016年6月开始边工作边复习。初试362分，在所在专业排名23(招27人)进入复试，复试排名第一，综合排名第八。被武汉七所\211\""之一的中国地质大学，以一等奖学金录取为2017届全日制学术性法学硕士。""",专科生也能考研进211名校,171,教育,1189,0,1215,1234,3368
4485,999,999,363,4.39,潘玥,凤凰卫视记者/前新东方托福雅思听口教师,0,我是潘玥，凤凰卫视记者，前新东方托福雅思听力口语教师，为研究新媒体刚注册账号一个月的知乎小白，首场 Live「85 后记者香港从业体验思考」五星评分主讲，话题「高度自律是种怎样的体验」高赞答主。,高度自律：为了高度自由,252,生活方式,622,0,623,645,6257
